"moad;x","68146860967f5cfefe3bce64","allie","612958d26962f50001ae89d2","68f30f808fd8a0bd77d55894","2025-10-18 00:00"
"[TNT] Kirania","5c14f357ff3dc98d883d182c","HeyGuys!WeHaveAGiftForYou!","64da2edded0ce01ab055723e","68f3105c7daed786e5ae57d2","2025-10-18 00:13"
"tmol","65804bf1981dcef1aaa9fc20","moad;x","68146860967f5cfefe3bce64","68f312aa8fd8a0bd77d559ba","2025-10-18 00:17"
"[TNT] Kirania","5c14f357ff3dc98d883d182c","pasycat粉丝","6825e5c37465249750d5a93f","68f31400a16ffde8aaca40c3","2025-10-18 00:23"
"Salem","63af4615494c2bc27e4a2f31","Rockmelon","5fee6976892bf00001ab04fc","68f315a17daed786e5ae5960","2025-10-18 00:23"
"Salem","63af4615494c2bc27e4a2f31","Ringo","6046c8a097019400018ea4cf","68f316688fd8a0bd77d55aef","2025-10-18 00:28"
"HeyGuys!WeHaveAGiftForYou!","64da2edded0ce01ab055723e","pasycat粉丝","6825e5c37465249750d5a93f","68f3164ca16ffde8aaca40e7","2025-10-18 00:30"
"Salem","63af4615494c2bc27e4a2f31","Dua Lipa - Levitating","63bc2afd1722f691fd6a2d3f","68f318884127defe32a06a0f","2025-10-18 00:36"
"Dua Lipa - Levitating","63bc2afd1722f691fd6a2d3f","Salem","63af4615494c2bc27e4a2f31","68f319618fd8a0bd77d55bda","2025-10-18 00:40"
"Eamonn","5e2e983722bbda85a40e9009","pasycat粉丝","6825e5c37465249750d5a93f","68f319097daed786e5ae5a77","2025-10-18 00:41"
"Ringo","6046c8a097019400018ea4cf","Van","687aeaddef25d21e16f95266","68f319418fd8a0bd77d55bd3","2025-10-18 00:42"
"Eamonn","5e2e983722bbda85a40e9009","pasycat粉丝","6825e5c37465249750d5a93f","68f31a9e4127defe32a06b07","2025-10-18 00:49"
"Ringo","6046c8a097019400018ea4cf","Jayden (Mobile)","61f149e3c24ced00015b4777","68f31cba4127defe32a06bf8","2025-10-18 00:56"
"Eamonn","5e2e983722bbda85a40e9009","Norbert","61b40084a8414400018d958a","68f31d1c8fd8a0bd77d55d00","2025-10-18 00:59"
"Dua Lipa - Levitating","63bc2afd1722f691fd6a2d3f","Ringo","6046c8a097019400018ea4cf","68f31eb34127defe32a06cb9","2025-10-18 01:04"
"Salem","63af4615494c2bc27e4a2f31","Pasord","6669c659ca16186b5a3dbc35","68f31f48a16ffde8aaca4162","2025-10-18 01:05"
"Eamonn","5e2e983722bbda85a40e9009","Norbert","61b40084a8414400018d958a","68f31edc8fd8a0bd77d55d7f","2025-10-18 01:07"
"Ringo","6046c8a097019400018ea4cf","Dua Lipa - Levitating","63bc2afd1722f691fd6a2d3f","68f31fc68fd8a0bd77d55dcd","2025-10-18 01:08"
"Dua Lipa - Levitating","63bc2afd1722f691fd6a2d3f","Pasord","6669c659ca16186b5a3dbc35","68f320b8a16ffde8aaca4177","2025-10-18 01:12"
"Dua Lipa - Levitating","63bc2afd1722f691fd6a2d3f","Strtcpr","64ac8073ee774894b9574e57","68f321b08fd8a0bd77d55e6b","2025-10-18 01:14"
"tmol","65804bf1981dcef1aaa9fc20","Strtcpr","64ac8073ee774894b9574e57","68f321357daed786e5ae5ccf","2025-10-18 01:14"
"Strtcpr","64ac8073ee774894b9574e57","Dua Lipa - Levitating","63bc2afd1722f691fd6a2d3f","68f322294127defe32a06e34","2025-10-18 01:16"
"Strtcpr","64ac8073ee774894b9574e57","tmol","65804bf1981dcef1aaa9fc20","68f322698fd8a0bd77d55e9b","2025-10-18 01:18"
"Dua Lipa - Levitating","63bc2afd1722f691fd6a2d3f","Strtcpr","64ac8073ee774894b9574e57","68f322e4a16ffde8aaca419d","2025-10-18 01:19"
"gokhale","68257ab1be5b31c617f37156","Strtcpr","64ac8073ee774894b9574e57","68f323278fd8a0bd77d55ed8","2025-10-18 01:22"
"Norbert","61b40084a8414400018d958a","Eamonn","5e2e983722bbda85a40e9009","68f322567daed786e5ae5d1b","2025-10-18 01:23"
"Dua Lipa - Levitating","63bc2afd1722f691fd6a2d3f","tmol","65804bf1981dcef1aaa9fc20","68f323948fd8a0bd77d55efa","2025-10-18 01:25"
"gokhale","68257ab1be5b31c617f37156","Norbert","61b40084a8414400018d958a","68f324c94127defe32a06f42","2025-10-18 01:28"
"Ẩm Thực Trung Hoa","63bfe3658765ff1ce1c4ceb8","Eamonn","5e2e983722bbda85a40e9009","68f3247b7daed786e5ae5db5","2025-10-18 01:31"
"tmol","65804bf1981dcef1aaa9fc20","[TNT] jv724 α","5d50f46b24ec173888d7e22e","68f324c24127defe32a06f3f","2025-10-18 01:31"
"gokhale","68257ab1be5b31c617f37156","Pasord","6669c659ca16186b5a3dbc35","68f3255ca16ffde8aaca41bf","2025-10-18 01:32"
"Norbert","61b40084a8414400018d958a","howD","68c4654b5d01bd471d79c93e","68f325e64127defe32a06fbb","2025-10-18 01:34"
"Ringo","6046c8a097019400018ea4cf","どついたるねん","64ba59fa5e29f358854d344f","68f3264a4127defe32a06fdf","2025-10-18 01:36"
"tmol","65804bf1981dcef1aaa9fc20","Jayden (Mobile)","61f149e3c24ced00015b4777","68f326b58fd8a0bd77d55ffb","2025-10-18 01:37"
"Salem","63af4615494c2bc27e4a2f31","どついたるねん","64ba59fa5e29f358854d344f","68f327734127defe32a07050","2025-10-18 01:40"
"どついたるねん","64ba59fa5e29f358854d344f","Pasord","6669c659ca16186b5a3dbc35","68f328457daed786e5ae5ebb","2025-10-18 01:44"
"どついたるねん","64ba59fa5e29f358854d344f","kedusan","647734d056305f7bf5561a4e","68f32a078fd8a0bd77d560e5","2025-10-18 01:52"
"gokhale","68257ab1be5b31c617f37156","どついたるねん","64ba59fa5e29f358854d344f","68f32b5d8fd8a0bd77d5615b","2025-10-18 01:56"
"Ringo","6046c8a097019400018ea4cf","tmol","65804bf1981dcef1aaa9fc20","68f32b478fd8a0bd77d56151","2025-10-18 01:59"
"Salem","63af4615494c2bc27e4a2f31","aero","6204e99c582e1f0001bd9a43","68f32cd64127defe32a07267","2025-10-18 02:04"
"どついたるねん","64ba59fa5e29f358854d344f","aero","6204e99c582e1f0001bd9a43","68f32de17daed786e5ae6009","2025-10-18 02:08"
"どついたるねん","64ba59fa5e29f358854d344f","[TNT] jv724 α","5d50f46b24ec173888d7e22e","68f32ecd7daed786e5ae6047","2025-10-18 02:12"
"aero","6204e99c582e1f0001bd9a43","Salem","63af4615494c2bc27e4a2f31","68f32ec48fd8a0bd77d56279","2025-10-18 02:14"
"Salem","63af4615494c2bc27e4a2f31","どついたるねん","64ba59fa5e29f358854d344f","68f3303b4127defe32a07392","2025-10-18 02:18"
"uma","64f2dc78d650255f6568f7b2","pasycat粉丝","6825e5c37465249750d5a93f","68f3324d4127defe32a07454","2025-10-18 02:28"
"どついたるねん","64ba59fa5e29f358854d344f","Pajabol","64724edfca1d938dc1416b4a","68f333308fd8a0bd77d563f7","2025-10-18 02:30"
"Lofty","5aa426e6afad0f7de4936eda","Dimsum","63f619f14068eb7d4bbb134d","68f333578fd8a0bd77d56404","2025-10-18 02:34"
"aero","6204e99c582e1f0001bd9a43","Salem","63af4615494c2bc27e4a2f31","68f333f74127defe32a074fc","2025-10-18 02:35"
"どついたるねん","64ba59fa5e29f358854d344f","Pajabol","64724edfca1d938dc1416b4a","68f334158fd8a0bd77d56453","2025-10-18 02:35"
"🐈","6855405273045641271196c9","pasycat粉丝","6825e5c37465249750d5a93f","68f333d68fd8a0bd77d5643d","2025-10-18 02:37"
"Norbert","61b40084a8414400018d958a","aero","6204e99c582e1f0001bd9a43","68f3355c8fd8a0bd77d564bb","2025-10-18 02:39"
"Salem","63af4615494c2bc27e4a2f31","どついたるねん","64ba59fa5e29f358854d344f","68f335417daed786e5ae61ef","2025-10-18 02:39"
"pasycat粉丝","6825e5c37465249750d5a93f","uma","64f2dc78d650255f6568f7b2","68f335c34127defe32a075a5","2025-10-18 02:42"
"Lofty","5aa426e6afad0f7de4936eda","Pajabol","64724edfca1d938dc1416b4a","68f335124127defe32a0756a","2025-10-18 02:42"
"aero","6204e99c582e1f0001bd9a43","Salem","63af4615494c2bc27e4a2f31","68f336264127defe32a075cf","2025-10-18 02:44"
"Norbert","61b40084a8414400018d958a","どついたるねん","64ba59fa5e29f358854d344f","68f336834127defe32a075f6","2025-10-18 02:45"
"aero","6204e99c582e1f0001bd9a43","Salem","63af4615494c2bc27e4a2f31","68f3373e4127defe32a07640","2025-10-18 02:47"
"uma","64f2dc78d650255f6568f7b2","pasycat粉丝","6825e5c37465249750d5a93f","68f336f24127defe32a0761d","2025-10-18 02:50"
"どついたるねん","64ba59fa5e29f358854d344f","Patrikooo","626d1bc43f55a48888b1d704","68f337d37daed786e5ae629b","2025-10-18 02:50"
"Norbert","61b40084a8414400018d958a","gokhale","68257ab1be5b31c617f37156","68f337997daed786e5ae628b","2025-10-18 02:51"
"pasycat粉丝","6825e5c37465249750d5a93f","Norbert","61b40084a8414400018d958a","68f339128fd8a0bd77d565fc","2025-10-18 02:54"
"gokhale","68257ab1be5b31c617f37156","どついたるねん","64ba59fa5e29f358854d344f","68f338fb4127defe32a0770c","2025-10-18 02:54"
"Lofty","5aa426e6afad0f7de4936eda","Pajabol","64724edfca1d938dc1416b4a","68f337318fd8a0bd77d5655a","2025-10-18 02:54"
"🐈","6855405273045641271196c9","aero","6204e99c582e1f0001bd9a43","68f339847daed786e5ae6306","2025-10-18 02:56"
"aero","6204e99c582e1f0001bd9a43","どついたるねん","64ba59fa5e29f358854d344f","68f33a158fd8a0bd77d56647","2025-10-18 03:00"
"Lofty","5aa426e6afad0f7de4936eda","Dimsum","63f619f14068eb7d4bbb134d","68f339d44127defe32a0775f","2025-10-18 03:01"
